id,style_name,slug,description,popularity_rank,source,timestamp,urls
,Neo-Traditional,neo-traditional,Modern take on traditional tattoo styles with more dimension and detail,5,,,
,Minimal,minimal,"Simple, clean designs with minimal detail and shading",8,,,
,Abstract,abstract,"Non-representational designs focusing on shapes, colors, and forms",12,,,
,Dotwork / Pointillism,dotwork-pointillism,Tattoos created entirely or primarily using dots,15,,,
,Surreal,surreal,"Dreamlike, fantastical designs inspired by surrealism art movement",18,,,
,New School,new-school,"Cartoonish, exaggerated designs with bold outlines and vibrant colors",7,,,
,3D / Anaglyph,3d-anaglyph,Tattoos that create optical illusions of depth and dimension,20,,,
,Mandala,mandala,"Circular, geometric designs originating from spiritual traditions",6,,,
,Sketch / Etching / Engraving,sketch-etching-engraving,Tattoos that mimic hand-drawn sketches or engraved artwork,22,,,
,Glitch / Vaporwave,glitch-vaporwave,Digital-inspired designs with glitch effects and retro-futuristic aesthetics,25,,,
,UV / Blacklight,uv-blacklight,Tattoos that are visible primarily under ultraviolet light,28,,,
,Japanese / Irezumi,japanese-irezumi,Traditional Japanese tattoo art with specific motifs and techniques,4,,,
,Ornamental,ornamental,Decorative patterns and designs inspired by various cultural traditions,14,,,
,Blackwork,blackwork,"Tattoos using solid black ink, often with geometric or pattern-based designs",9,,,
,Script / Calligraphy / Gothic,script-calligraphy-gothic,Text-based tattoos featuring various writing styles and fonts,10,,,
,Trash Polka,trash-polka,Combination of realistic images and typographic elements with red/black color scheme,16,,,
,Watercolor,watercolor,Tattoos that mimic the appearance of watercolor paintings,11,,,
,Pixel / 8-bit,pixel-8bit,Tattoos inspired by retro video game graphics and pixel art,23,,,
,American Traditional (Old School),american-traditional,Classic tattoo style with bold outlines and limited color palette,3,,,
,Negative Space,negative-space,Designs that use the absence of ink to create shapes and patterns,19,,,
,Bio-organic,bio-organic,"Organic, biological-looking designs often with surreal or sci-fi elements",21,,,
,Anime / Manga,anime-manga,Tattoos inspired by Japanese animation and comic art styles,13,,,
,Celtic / Nordic,celtic-nordic,Tattoos featuring traditional Celtic knots and Norse mythology motifs,17,,,
,Biomechanical,biomechanical,"Combination of biological and mechanical elements, often with a sci-fi aesthetic",24,,,
,Tribal (Polynesian / Māori / Samoan / Marquesan),tribal,Traditional patterns and designs from various indigenous cultures,2,,,
,Sticker / Patch,sticker-patch,Tattoos designed to look like stickers or fabric patches,26,,,
,Black & Grey,black-grey,"Tattoos using only black and grey ink, often with realistic shading",1,,,
,Micro-Realism,micro-realism,"Extremely detailed, small-scale realistic tattoos",27,,,
,Realism,realism,Photorealistic tattoos that accurately depict subjects,29,,,
,Geometric,geometric,"Tattoos based on geometric shapes, patterns, and symmetry",30,,,
,Cyberpunk / Futuristic,cyberpunk-futuristic,"Tattoos inspired by futuristic, high-tech, and dystopian themes",31,,,
,Comic / Cartoon,comic-cartoon,Tattoos inspired by comic book art and cartoon styles,32,,,
,Linework,linework,Tattoos focusing on clean lines and minimal shading,33,,,
,Illustrative,illustrative,Tattoos that resemble detailed illustrations or drawings,34,,,
,Fine Line / Single Needle,fine-line-single-needle,Delicate tattoos created with very fine lines using single needles,35,,,
,Chicano / Lettering,chicano-lettering,"Tattoo style originating from Chicano culture, often featuring elaborate lettering",36,,,
